10_DE_AGOSTO, Costa,"-0,1","-80,1",169,131752
BALZAR, Costa,"-1,3","-79,9",36,90450
BILOVAN, Sierra,"-1,8","-79,2",1978,20552
CAPITAN_AUGUSTO_RIVADENEYRA, Oriente,"-0,6","-75,8",219,220251
CHANTILIN, Sierra,"-0,9","-78,6",2868,50652
CONCEPCION1, ,"0,7","-78,1",2794,40451
JULIO_E_MORENO_(CATANAHUAN_GRANDE), Sierra,"-1,6","-79,1",2058,20153
MALACATOS_(VALLADOLID), Sierra,"-4,2","-79,2",1936,110156
RICAURTE2, ,"-0,6",-80,516,130356
SAN_JOSE_DE_QUICHINCHE, Sierra,"0,2","-78,4",2805,100455
TINGO, Sierra,"-0,9","-79,1",1554,50457
